InventoryFactID,DateID,ProductID,WarehouseID,SupplierID,StockLevel,ReorderPoint,DaysOnHand
1,1569,2522,789,499,324,22,61
2,3107,709,792,483,385,89,88
3,3137,1644,789,543,379,88,81
4,2974,885,792,507,89,40,86
5,3099,805,787,502,296,72,74
6,1291,512,793,534,83,37,39
7,1411,2376,792,486,199,23,89
8,2512,1463,789,494,306,80,36
9,2907,1717,792,540,20,57,63
10,2402,2078,793,501,99,98,4
11,1760,659,789,552,228,86,54
12,1522,1605,787,493,70,98,21
13,2170,775,791,548,305,71,54
14,980,2318,790,560,231,25,67
15,1252,1679,790,522,373,38,33
16,2770,1712,789,507,183,8,5
17,2095,1487,791,497,296,79,85
18,815,2799,791,553,388,71,2
19,2407,1917,788,541,322,106,67
20,1751,1925,792,516,204,66,9
21,1315,2912,788,552,88,21,10
22,3138,2575,789,548,197,56,64
23,1679,1229,791,480,144,74,3
24,1095,1250,789,542,309,58,71
25,2859,448,788,517,199,77,85
26,2219,824,789,551,271,35,85
27,2814,2163,793,554,29,60,25
28,2367,566,792,492,55,51,29
29,2265,1755,793,515,226,32,80
30,2711,2459,787,542,221,0,49
31,2059,2297,791,557,231,83,18
32,991,1801,788,533,63,96,60
33,1120,1936,792,478,87,30,83
34,2180,794,790,505,397,114,46
35,1934,1819,791,498,113,56,39
36,1447,1197,788,535,305,115,6
37,1143,1271,792,505,150,83,25
38,2372,1248,787,522,319,76,7
39,1253,2063,788,496,33,6,58
40,1367,1460,793,520,109,41,28
41,1036,413,791,538,206,84,65
42,2563,2069,793,504,33,87,9
43,2677,1465,788,482,315,20,75
44,3203,510,793,552,333,110,37
45,2547,1548,792,540,16,24,39
46,3050,2173,788,490,277,4,52
47,3225,2483,792,499,62,116,21
48,2676,1907,792,550,70,117,43
49,1307,2570,788,520,94,107,5
50,2113,1238,788,490,269,23,12
51,1891,2617,792,494,327,61,5
52,3114,710,788,545,120,90,10
53,1692,2894,788,525,32,12,51
54,1669,1838,791,555,173,118,10
55,2218,1172,787,522,256,40,73
56,1905,1305,789,513,297,4,35
57,2212,2153,793,504,193,61,26
58,1337,2013,789,525,58,103,42
59,1731,2429,790,525,271,57,66
60,1506,2652,791,532,210,83,56
61,1207,1321,793,539,314,69,35
62,1193,2205,793,545,6,112,41
63,924,433,793,533,234,19,50
64,1913,1794,793,538,75,96,56
65,1935,1480,790,553,180,45,50
66,2924,1487,791,507,247,80,13
67,1402,2373,790,478,41,115,35
68,2956,486,787,513,354,61,85
69,1772,2424,787,542,367,118,1
70,1329,1350,793,533,84,19,63
71,2769,518,790,541,337,13,54
72,2267,2379,788,498,23,110,70
73,1809,2581,792,545,211,9,34
74,2486,2019,792,559,391,82,39
75,1209,1088,792,535,332,73,65
76,2703,2401,791,502,226,18,10
77,1467,2708,792,554,67,20,22
78,1474,428,789,552,124,57,80
79,1102,780,791,518,218,3,61
80,1230,1417,788,510,197,31,40
81,893,871,792,519,39,10,65
82,1581,1931,789,554,177,65,40
83,1876,1275,793,517,195,0,60
84,2925,844,787,520,322,83,50
85,2506,984,787,549,234,5,33
86,2325,2014,793,513,45,29,21
87,3016,912,788,541,239,70,14
88,3113,1263,792,524,171,6,85
89,2715,1659,791,520,313,37,65
90,835,2154,793,560,14,49,67
91,2768,831,793,555,1,86,9
92,2359,1092,790,525,27,83,32
93,2083,1110,789,524,31,8,75
94,1921,2113,791,507,50,96,79
95,1936,1182,791,532,235,66,74
96,2491,395,789,557,362,33,53
97,2354,1154,789,535,285,14,38
98,1143,2691,790,511,154,107,21
99,2462,2158,792,500,160,29,45
100,2261,2132,788,548,357,33,64
101,2525,1303,793,502,285,98,52
102,1312,958,791,496,0,17,2
103,2410,2735,788,497,217,27,86
104,1782,1323,789,511,316,89,57
105,2920,1456,793,559,3,89,22
106,2224,2719,791,560,241,90,39
107,2163,2847,790,515,223,27,58
108,2543,2805,791,500,368,114,75
109,1819,989,793,496,214,101,47
110,2858,2231,787,521,263,65,72
111,1042,1001,788,522,18,36,35
112,1456,2121,792,538,385,66,59
113,1558,818,792,500,15,81,77
114,2298,550,793,556,78,20,50
115,1513,2536,791,527,376,74,50
116,2430,1462,793,483,269,26,78
117,1416,647,787,523,376,41,53
118,859,1522,790,529,33,73,61
119,3156,1442,789,482,316,119,44
120,972,1241,791,491,263,114,17
121,1517,2832,788,520,337,100,41
122,2274,1354,791,545,55,86,5
123,2499,513,789,493,46,34,41
124,817,2063,790,487,247,6,59
125,1840,1757,793,555,6,101,86
126,3235,1711,788,506,109,118,6
127,2770,590,793,479,357,26,85
128,2152,551,793,533,235,105,13
129,2565,2241,787,519,225,13,12
130,1952,1642,791,500,209,71,59
131,834,2217,787,539,284,64,14
132,3150,1165,791,539,133,89,31
133,2378,584,787,532,265,43,17
134,1136,1557,792,545,271,27,82
135,1581,2410,787,495,200,95,61
136,3150,2473,792,481,75,80,6
137,838,996,790,488,200,78,87
138,1250,1058,792,553,93,110,14
139,862,485,789,480,53,108,23
140,2517,584,788,488,32,17,46
141,2859,2174,790,558,338,107,16
142,3077,812,791,485,43,115,46
143,1349,2085,790,480,190,101,80
144,1108,2146,792,501,156,111,28
145,2211,2675,789,551,24,25,35
146,1917,1978,788,560,5,41,59
147,2066,2463,789,513,131,66,80
148,1549,583,793,542,50,75,42
149,2234,1958,792,540,153,12,50
150,2026,2570,788,546,208,18,42
151,2372,1576,788,541,60,5,55
152,2335,1904,791,503,382,107,13
153,1473,1439,789,531,25,5,71
154,3239,865,792,540,276,36,65
155,3178,2477,792,516,232,47,39
156,1576,1352,790,540,114,64,64
157,1201,1474,789,546,170,37,7
158,2745,2493,792,485,127,12,48
159,2600,1492,792,485,83,67,1
160,2102,1534,793,560,252,44,27
161,2646,1443,792,533,297,52,27
162,1874,2802,790,489,127,118,7
163,1465,993,789,519,6,97,72
164,2523,934,787,523,243,102,21
165,872,2461,787,535,254,4,49
166,1856,772,792,501,199,34,8
167,1652,931,793,526,234,92,33
168,2543,1909,788,530,36,8,72
169,3102,2873,788,538,217,103,79
170,2282,671,793,487,270,28,1
171,1781,1268,791,504,8,69,59
172,2577,1308,792,507,217,62,24
173,2271,2883,793,555,343,77,37
174,2762,523,791,528,371,105,54
175,1780,2798,787,510,18,81,9
176,2090,1050,793,549,31,79,41
177,2743,1516,789,544,235,34,12
178,2350,1201,791,555,169,13,10
179,2308,1461,791,551,254,105,44
180,1519,1212,787,526,58,38,83
181,1855,648,788,490,390,117,43
182,2162,1602,789,507,115,83,8
183,2906,1126,788,515,53,22,15
184,2123,556,792,542,34,62,45
185,1527,2846,791,521,197,114,35
186,2227,748,792,528,117,65,10
187,2156,1890,791,517,15,21,88
188,1451,1381,791,499,275,9,77
189,2376,2111,791,522,372,97,17
190,2609,1959,790,508,355,34,2
191,1854,2818,790,548,92,102,59
192,2157,2848,789,504,268,81,65
193,1478,2609,792,481,381,115,65
194,3046,2309,790,546,371,51,83
195,1333,1832,790,501,101,37,24
196,1775,1506,788,546,181,37,50
197,896,1117,791,506,162,97,19
198,1628,2845,789,496,25,74,16
199,2551,1994,792,534,190,114,30
200,1860,2813,791,496,57,102,13
201,1351,747,791,550,334,109,15
202,1314,685,792,491,288,49,4
203,2456,2071,790,545,156,113,64
204,2879,1171,790,528,329,81,65
205,1100,2105,788,558,261,38,64
206,1517,1467,792,522,178,99,56
207,2990,2425,791,547,102,91,86
208,2551,1544,788,487,61,95,50
209,2922,2276,790,497,376,8,64
210,2801,414,787,524,6,1,71
211,1596,1892,791,548,334,94,55
212,2171,903,790,554,322,75,3
213,3123,1218,791,530,262,52,50
214,2636,1005,790,483,156,96,70
215,2895,2460,790,526,333,112,67
216,2767,1386,793,490,101,72,10
217,1508,2566,793,510,235,90,7
218,928,2034,787,520,340,114,88
219,1558,1369,789,543,154,3,57
220,1122,1734,791,543,208,9,16
221,962,2226,792,533,333,62,70
222,2189,2348,789,552,220,44,20
223,1213,1269,793,488,207,21,38
224,1484,2822,789,537,375,6,82
225,2139,2709,791,494,81,107,39
226,3205,754,787,500,351,46,37
227,2788,2044,789,550,380,62,19
228,2075,1402,788,490,381,61,77
229,2015,2113,791,517,353,91,33
230,1568,1580,792,533,170,27,87
231,2601,1889,791,545,161,57,71
232,1034,2447,791,522,52,90,62
233,997,939,790,552,16,79,41
234,1876,1894,787,550,280,114,23
235,3240,1123,790,483,325,19,80
236,2856,969,787,545,119,46,37
237,1207,741,788,550,70,89,14
238,1567,1852,787,495,294,18,85
239,1274,1482,791,553,47,6,28
240,1484,2175,792,514,300,56,74
241,1546,1038,790,491,71,24,16
242,2307,744,789,526,70,8,84
243,2149,2690,792,533,199,108,8
244,1653,1448,790,555,298,85,15
245,2954,2350,793,521,94,63,44
