ProductID,SKU,PartNumber,ProductName,Brand,Category,SubCategory,Compatibility,Price,Cost,WarrantyPeriod
392,SKU-00000-KNN,510883,Husky Liners WeatherBeater Floor Liners - GMC Sierra 1500 (2014-2024),Husky Liners,Exterior,Running Boards,GMC Sierra 1500 2014-2024,1444.54,1168.08,1-Year
393,SKU-00001-CRT,859300,K&N Cold Air Intake Kit - Toyota Tundra (2014-2024),K&N,Towing,Trailer Hitches,Toyota Tundra 2014-2024,214.05,146.33,No Warranty
394,SKU-00002-TYG,449969,Westin HDX Drop Nerf Step Bars - Ford F-150 (2015-2024),Westin,Exterior,Running Boards,Ford F-150 2015-2024,775.19,627.76,No Warranty
395,SKU-00003-WST,510798,CURT Class 3 Trailer Hitch - Ram 1500 (2013-2024),CURT,Exterior,Tonneau Covers,Ram 1500 2013-2024,637.77,419.09,No Warranty
396,SKU-00004-HK,859255,"""Westin Platinum 4"""" Oval Nerf Bars - Ford F-150 (2015-2024)""",Westin,Lighting,LED Light Bars,Ford F-150 2015-2024,322.70,222.68,1-Year
397,SKU-00005-KNN,441411,CURT Class 4 Trailer Hitch - Ford F-150 (2015-2024),CURT,Suspension,Lift Kits,Ford F-150 2015-2024,168.34,129.59,1-Year
398,SKU-00006-PTC,441828,Westin HDX Drop Nerf Step Bars - GMC Sierra 1500 (2014-2024),Westin,Suspension,Lift Kits,GMC Sierra 1500 2014-2024,882.44,619.15,3-Year
399,SKU-00007-MGF,132374,Husky Liners WeatherBeater Floor Liners - Toyota Tacoma (2016-2024),Husky Liners,Performance,Exhaust,Toyota Tacoma 2016-2024,107.45,84.70,3-Year
400,SKU-00008-PTC,140730,Westin HDX Drop Nerf Step Bars - Ram 1500 (2013-2024),Westin,Exterior,Running Boards,Ram 1500 2013-2024,528.20,370.18,No Warranty
401,SKU-00009-TRX,140462,Rough Country Suspension Lift Kit w/Shocks - Ford F-150 (2015-2024),Rough Country,Performance,Cold Air Intakes,Ford F-150 2015-2024,349.58,197.57,3-Year
