ReturnsFactID,DateID,CustomerID,ProductID,ChannelID,ReasonID,ReturnQty,ReturnAmount
1,1444,7581,726,885,913,1,1078.92
2,2558,2192,1794,887,916,2,305.04
3,1116,2350,893,889,912,2,325.22
4,1557,4827,1820,881,917,1,798.13
5,3220,2915,1910,884,921,2,246.24
6,1189,5187,1566,887,911,1,123.41
7,1747,3808,977,890,920,2,48.42
8,2160,4380,1862,892,919,2,62.29
9,1614,6037,588,891,918,1,315.18
10,1761,3530,1462,882,914,2,64.91
11,2803,1429,1250,885,916,1,158.68
12,2118,3972,899,887,915,2,645.61
13,1566,3448,1686,892,914,2,644.18
14,1478,1324,2382,888,915,2,607.11
15,1120,2210,2296,885,916,2,843.46
16,1901,4680,981,883,912,2,1042.32
17,933,4806,2182,883,913,2,550.69
18,2727,285,457,891,919,1,229.49
19,2139,156,1863,887,918,1,743.67
20,2228,4295,1987,886,915,2,1079.11
21,2286,1205,445,888,912,1,966.34
22,2710,7408,2665,882,918,2,1085.11
23,1349,6933,1006,880,916,1,1166.21
24,2413,4367,1059,887,915,1,58.38
25,1263,5193,471,891,911,1,209.53
26,1002,833,2335,884,917,1,71.55
27,931,697,1111,880,912,1,717.55
28,1679,5541,392,880,921,2,667.81
29,1462,1169,551,882,919,1,112.07
30,2906,254,1319,883,921,2,242.62
31,2349,6625,571,890,917,2,532.69
32,1725,4106,2826,887,916,2,98.38
33,945,387,2480,880,921,1,113.63
34,1285,1808,481,888,911,2,1033.16
35,2056,7025,2707,881,913,2,1055.45
36,2062,4283,2772,885,914,2,890.97
37,1617,291,2699,887,916,1,387.07
38,1567,6778,451,892,919,1,666.53
39,1762,3495,2668,886,919,1,338.09
40,1979,5124,2192,886,911,2,311.24
41,2577,5105,733,885,919,2,677.05
42,2045,734,800,883,913,2,441.00
43,1222,7176,817,881,912,1,1167.00
44,3124,2443,2358,889,914,2,719.02
45,2041,7609,2720,887,919,1,720.05
46,1139,3810,897,891,916,1,888.04
47,2798,3137,2707,886,913,1,329.54
48,2310,2863,2124,892,912,2,632.21
49,1091,3350,2435,888,918,2,458.11
50,1365,2582,2482,881,911,1,281.67
51,1040,4710,1132,884,919,1,739.56
52,1390,2179,1598,887,920,2,1098.75
53,853,7280,458,892,914,2,845.95
54,2081,1591,1606,883,914,1,942.28
55,1103,446,1330,881,918,2,439.62
56,2186,5145,2673,881,915,2,303.19
57,2384,1234,1530,885,914,2,52.20
58,1245,386,2152,883,920,1,159.95
59,1749,6366,1315,888,913,2,665.74
60,2889,7055,1246,887,918,2,497.04
61,3090,2509,1739,881,912,2,444.16
62,2871,1801,2901,887,920,2,902.25
63,2171,5718,2730,886,914,1,494.29
64,1790,6528,1469,892,918,1,556.40
65,2583,5661,1192,887,914,2,846.37
66,2261,5402,1887,885,911,1,914.00
67,3152,4227,706,891,912,1,312.57
68,1048,3245,457,887,911,1,952.38
69,2608,1248,2611,882,913,1,697.24
70,1576,6946,919,892,912,2,492.00
71,814,2225,963,880,915,2,949.89
72,2801,5619,2924,880,918,2,809.17
73,2198,5321,1937,887,920,2,407.72
74,2182,4899,1795,881,921,1,325.10
75,2524,1035,2517,880,912,2,616.06
76,1778,2752,1141,889,920,2,961.51
77,1161,1507,1892,890,919,2,603.41
78,854,5602,2086,889,917,2,1136.70
79,2839,7010,1903,890,915,1,912.83
80,1181,5951,717,889,919,1,386.50
81,1314,5306,1970,891,916,1,223.95
82,2296,3908,1681,885,918,2,1096.35
83,1519,4784,2127,885,917,2,881.71
84,971,3339,2887,885,921,1,410.42
85,1563,3974,1298,883,914,2,546.20
86,1419,6506,504,890,917,2,625.01
87,2099,471,1425,884,920,2,123.33
88,2369,1088,1658,880,921,2,55.87
89,1848,4075,1544,888,919,1,487.69
90,2818,1309,2503,883,911,1,1031.96
91,1759,6337,1316,892,915,2,36.37
92,2175,4252,1962,889,912,1,1034.38
93,1670,3746,584,881,921,2,330.38
94,1660,7086,1370,885,914,1,643.05
95,2778,4432,2083,887,912,1,764.43
96,3008,4657,2401,891,917,1,224.79
97,2702,758,2630,887,915,2,761.25
98,2985,3587,1511,880,917,2,462.67
99,2293,7395,2568,884,920,1,939.26
100,2692,3738,2191,886,913,1,581.30
101,1347,2241,2880,889,913,1,775.05
102,2298,6368,1863,888,918,1,225.55
103,2025,1056,1192,886,912,2,668.91
104,2451,3221,1697,886,911,2,899.82
105,976,1489,793,885,918,1,285.98
106,2209,1027,1811,885,914,2,853.35
