ShipmentFactID,DateID,CustomerID,ProductID,WarehouseID,CarrierID,LocationID,ShippingCost,DeliveryTimeDays
1,1832,1610,1454,790,822,812,64.72,26
2,2920,5364,2026,792,818,869,64.71,1
3,3203,6758,2046,789,823,880,27.88,13
4,2301,659,647,789,818,849,17.61,25
5,1315,3568,1780,788,820,845,49.34,18
6,1310,2151,1466,793,815,605,17.09,4
7,1006,3381,884,792,821,761,43.06,22
8,1541,5686,2388,788,820,577,41.57,19
9,2307,4775,399,787,822,886,63.34,16
10,1723,6941,1974,790,815,769,64.26,19
11,1147,2486,2278,787,818,662,63.23,11
12,1150,331,2907,788,820,742,14.30,6
13,2089,5296,1742,791,815,716,51.12,4
14,2024,4614,740,790,822,785,60.92,19
15,2666,6624,2582,789,823,884,40.64,6
16,1555,6930,899,788,821,665,39.86,12
17,1336,6175,2295,789,815,603,32.38,8
18,1597,6027,686,787,823,776,29.23,2
19,1126,3556,1475,791,816,857,55.73,14
20,1853,169,2287,792,818,857,46.69,26
21,2384,3737,2170,787,823,620,41.92,28
22,1720,2764,1815,787,823,574,30.53,29
23,1839,1126,1969,790,815,775,61.50,3
24,3227,3646,2855,789,822,851,15.05,29
25,1182,6592,750,787,818,872,28.85,18
26,1444,457,1642,787,815,887,58.69,6
27,2298,7532,2121,791,815,635,51.04,18
28,957,5987,2394,788,822,857,49.02,25
29,1199,3560,2593,788,817,735,48.23,24
30,2372,5965,1890,788,819,725,57.94,8
31,2236,4361,473,787,823,633,35.35,1
32,2872,658,2642,788,823,889,19.21,24
33,1182,3686,1443,791,823,843,22.65,5
34,1574,4313,1892,791,823,636,40.52,8
35,2491,1314,1846,792,816,612,22.84,9
36,2726,2539,1888,787,817,614,64.61,20
37,823,4517,2052,788,819,792,62.97,19
38,1969,2889,635,788,822,685,23.27,14
39,1974,4698,2799,788,823,872,19.98,17
40,1589,1018,1068,791,822,658,48.84,28
41,1593,6200,2753,787,820,868,46.92,14
42,1707,7304,532,790,819,650,40.19,29
43,2443,2290,1496,792,815,842,23.28,19
44,1351,4396,533,791,822,832,62.12,3
45,1624,2815,1737,790,815,820,29.96,3
46,1997,3028,1310,792,819,607,37.05,2
47,2115,5806,1827,789,819,798,64.20,9
48,3235,6096,1464,788,818,617,11.92,27
49,1069,462,2574,789,819,634,54.26,4
50,3189,7271,2636,789,816,742,48.13,16
51,1303,5653,1824,787,816,850,50.78,14
52,1960,4215,782,788,818,773,43.31,2
53,1845,1250,682,787,816,782,53.20,12
54,2455,1586,2817,789,823,867,60.01,19
55,1710,3519,1297,788,817,789,38.49,1
56,2791,5976,2751,793,821,577,64.35,11
57,2862,3642,577,789,815,606,44.88,2
58,1559,3423,784,788,815,589,43.20,26
59,3198,3451,2254,788,819,776,61.70,25
60,1088,6180,2907,787,820,676,38.16,11
61,1595,4366,1517,788,822,723,14.59,10
62,1365,7249,1054,789,816,655,29.00,6
63,2367,7206,1627,788,815,701,28.71,22
64,2842,5880,2533,788,818,734,60.74,17
65,1936,238,1652,789,821,803,55.00,21
