SupplierID,SupplierName,CountryOfOrigin,LeadTimeDays,ReliabilityScore,PaymentTerms
478,WeatherTech,Germany,3,0.93,"Net 30 "
479,CURT Manufacturing,Taiwan,39,0.72,"Net 60 "
480,Husky Liners,Canada,5,0.84,"Net 60 "
481,Westin Automotive,Mexico,31,0.84,"Prepaid "
482,Rough Country,Taiwan,10,0.53,"Prepaid "
483,TruXedo,Canada,18,0.95,"Prepaid "
484,Westin Automotive,Germany,6,0.97,"Net 45 "
485,CURT Manufacturing,Taiwan,35,0.55,"Net 45 "
486,BAK Industries,Canada,37,0.86,"Net 45 "
487,BAK Industries,Germany,8,0.57,"Net 30 "
488,Rough Country,Mexico,13,0.74,"Net 60 "
489,Rough Country,Canada,15,0.91,"Net 45 "
490,WeatherTech,Canada,38,0.90,"Net 45 "
491,Husky Liners,Canada,4,0.81,"Net 60 "
492,TruXedo,Canada,32,0.81,"Net 45 "
493,Westin Automotive,Taiwan,19,0.95,"Net 45 "
494,TruXedo,China,11,0.66,"Prepaid "
495,BAK Industries,USA,6,0.67,"Net 45 "
496,BAK Industries,Germany,13,0.53,"Net 30 "
497,BAK Industries,USA,7,0.79,"Net 30 "
498,BAK Industries,Germany,37,0.53,"Prepaid "
499,WeatherTech,USA,43,0.71,"Net 45 "
500,TruXedo,Mexico,20,0.52,"Net 60 "
501,TruXedo,Germany,11,0.53,"Net 30 "
502,TruXedo,Germany,42,0.65,"Net 30 "
503,CURT Manufacturing,China,23,0.93,"Net 45 "
504,Rough Country,Mexico,44,0.69,"Net 30 "
505,WeatherTech,USA,28,0.77,"Net 45 "
506,Westin Automotive,USA,16,0.94,"Prepaid "
507,TruXedo,Mexico,26,0.95,"Net 30 "
508,TruXedo,China,5,0.74,"Net 60 "
509,CURT Manufacturing,Taiwan,38,0.65,"Net 60 "
510,WeatherTech,USA,2,0.55,"Prepaid "
511,Rough Country,Mexico,32,0.75,"Net 45 "
512,Rough Country,Mexico,41,0.63,"Prepaid "
513,BAK Industries,China,5,0.83,"Net 30 "
514,Westin Automotive,Taiwan,28,0.67,"Net 60 "
515,BAK Industries,Taiwan,6,0.61,"Net 45 "
516,BAK Industries,Canada,30,0.77,"Net 45 "
517,BAK Industries,USA,15,0.60,"Net 30 "
518,Westin Automotive,China,30,0.76,"Net 60 "
519,BAK Industries,Germany,8,0.51,"Net 45 "
520,Rough Country,Mexico,26,0.96,"Net 30 "
521,Husky Liners,Canada,40,0.87,"Net 30 "
522,Rough Country,USA,11,0.69,"Net 30 "
523,TruXedo,Germany,5,0.80,"Net 45 "
524,TruXedo,China,42,0.59,"Net 30 "
525,WeatherTech,Mexico,34,0.83,"Net 30 "
526,Westin Automotive,Taiwan,18,0.67,"Prepaid "
527,Westin Automotive,Germany,11,0.68,"Net 30 "
528,WeatherTech,Canada,22,0.70,"Net 45 "
529,BAK Industries,Taiwan,34,0.89,"Net 45 "
530,BAK Industries,Canada,10,0.93,"Net 45 "
531,Westin Automotive,Canada,27,0.75,"Net 60 "
532,Rough Country,Taiwan,25,0.76,"Net 45 "
533,TruXedo,Taiwan,30,0.72,"Net 45 "
534,Westin Automotive,Canada,29,0.70,"Net 45 "
535,Westin Automotive,USA,16,0.65,"Net 60 "
536,TruXedo,Canada,6,0.76,"Net 45 "
537,TruXedo,Taiwan,26,0.68,"Net 45 "
538,Husky Liners,USA,38,0.96,"Net 45 "
539,CURT Manufacturing,Mexico,23,0.54,"Net 60 "
540,Rough Country,Germany,9,0.66,"Net 45 "
541,Rough Country,China,37,0.70,"Net 45 "
542,CURT Manufacturing,Canada,24,0.77,"Net 60 "
543,WeatherTech,Taiwan,3,0.52,"Net 30 "
544,Husky Liners,Germany,35,0.88,"Net 30 "
545,TruXedo,Mexico,36,0.92,"Net 30 "
546,BAK Industries,Canada,3,0.79,"Prepaid "
547,CURT Manufacturing,Germany,13,0.59,"Net 60 "
548,BAK Industries,Taiwan,3,0.83,"Net 45 "
549,TruXedo,USA,37,0.77,"Net 30 "
550,Westin Automotive,Canada,44,0.93,"Net 45 "
551,CURT Manufacturing,Canada,5,0.90,"Net 60 "
552,TruXedo,China,3,0.72,"Net 30 "
553,Rough Country,Canada,5,0.95,"Net 30 "
554,CURT Manufacturing,China,32,0.72,"Net 30 "
555,Husky Liners,Taiwan,2,0.86,"Prepaid "
556,Rough Country,Taiwan,14,0.59,"Net 45 "
557,Rough Country,Mexico,21,0.80,"Net 60 "
558,Husky Liners,Germany,12,0.73,"Prepaid "
559,Husky Liners,Canada,5,0.66,"Prepaid "
560,BAK Industries,USA,37,0.58,"Prepaid "
