DateID,FullDate
812,2019-01-01
813,2019-01-02
814,2019-01-03
815,2019-01-04
816,2019-01-05
817,2019-01-06
818,2019-01-07
819,2019-01-08
820,2019-01-09
821,2019-01-10
822,2019-01-11
823,2019-01-12
824,2019-01-13
825,2019-01-14
826,2019-01-15
827,2019-01-16
828,2019-01-17
829,2019-01-18
830,2019-01-19
831,2019-01-20
832,2019-01-21
833,2019-01-22
834,2019-01-23
835,2019-01-24
836,2019-01-25
837,2019-01-26
838,2019-01-27
839,2019-01-28
840,2019-01-29
841,2019-01-30
842,2019-01-31
843,2019-02-01
844,2019-02-02
845,2019-02-03
846,2019-02-04
847,2019-02-05
848,2019-02-06
849,2019-02-07
850,2019-02-08
851,2019-02-09
852,2019-02-10
853,2019-02-11
854,2019-02-12
855,2019-02-13
856,2019-02-14
857,2019-02-15
858,2019-02-16
859,2019-02-17
860,2019-02-18
861,2019-02-19
862,2019-02-20
863,2019-02-21
864,2019-02-22
865,2019-02-23
866,2019-02-24
867,2019-02-25
868,2019-02-26
869,2019-02-27
870,2019-02-28
871,2019-03-01
872,2019-03-02
873,2019-03-03
874,2019-03-04
875,2019-03-05
876,2019-03-06
877,2019-03-07
878,2019-03-08
879,2019-03-09
880,2019-03-10
881,2019-03-11
882,2019-03-12
883,2019-03-13
884,2019-03-14
885,2019-03-15
886,2019-03-16
887,2019-03-17
888,2019-03-18
889,2019-03-19
890,2019-03-20
891,2019-03-21
892,2019-03-22
893,2019-03-23
894,2019-03-24
895,2019-03-25
896,2019-03-26
897,2019-03-27
898,2019-03-28
899,2019-03-29
900,2019-03-30
901,2019-03-31
902,2019-04-01
903,2019-04-02
904,2019-04-03
905,2019-04-04
906,2019-04-05
907,2019-04-06
908,2019-04-07
909,2019-04-08
910,2019-04-09
911,2019-04-10
912,2019-04-11
913,2019-04-12
914,2019-04-13
915,2019-04-14
916,2019-04-15
917,2019-04-16
918,2019-04-17
919,2019-04-18
920,2019-04-19
921,2019-04-20
922,2019-04-21
923,2019-04-22
924,2019-04-23
925,2019-04-24
926,2019-04-25
927,2019-04-26
928,2019-04-27
929,2019-04-28
930,2019-04-29
931,2019-04-30
932,2019-05-01
933,2019-05-02
934,2019-05-03
935,2019-05-04
936,2019-05-05
937,2019-05-06
938,2019-05-07
939,2019-05-08
940,2019-05-09
941,2019-05-10
942,2019-05-11
943,2019-05-12
944,2019-05-13
945,2019-05-14
946,2019-05-15
947,2019-05-16
948,2019-05-17
949,2019-05-18
950,2019-05-19
951,2019-05-20
952,2019-05-21
953,2019-05-22
954,2019-05-23
955,2019-05-24
956,2019-05-25
957,2019-05-26
958,2019-05-27
959,2019-05-28
960,2019-05-29
961,2019-05-30
962,2019-05-31
963,2019-06-01
964,2019-06-02
965,2019-06-03
966,2019-06-04
967,2019-06-05
968,2019-06-06
969,2019-06-07
970,2019-06-08
971,2019-06-09
972,2019-06-10
973,2019-06-11
974,2019-06-12
975,2019-06-13
976,2019-06-14
977,2019-06-15
978,2019-06-16
979,2019-06-17
980,2019-06-18
981,2019-06-19
982,2019-06-20
983,2019-06-21
984,2019-06-22
985,2019-06-23
986,2019-06-24
987,2019-06-25
988,2019-06-26
989,2019-06-27
