FullDate,Category,AvgStock,AvgDOH,StockoutRate,AvgUnitCost,AvgInventoryValue,GMROI
2019-01-01,Exterior,312,50,312,685.025000,213727.800000,0.023134
2019-01-01,Interior,142,52,142,653.316000,92770.872000,0.040359
2019-01-01,Performance,198,44,198,403.887500,79969.725000,0.027361
2019-01-01,Suspension,289,51,289,1022.210000,295418.690000,0.008377
2019-01-01,Towing,341,14,341,458.630000,156392.830000,0.009562
2019-01-02,Exterior,312,47,312,501.870000,156583.440000,0.011702
2019-01-02,Interior,347,25,347,44.600000,15476.200000,-0.000745
2019-01-02,Lighting,248,54,248,759.015000,188235.720000,0.005246
2019-01-02,Performance,176,35,176,564.666666,99381.333216,0.034552
2019-01-02,Suspension,287,70,287,1030.870000,295859.690000,0.007695
2019-01-02,Towing,377,24,377,135.680000,51151.360000,0.014507
2019-01-03,Exterior,271,42,271,909.043333,246350.743243,0.011962
2019-01-03,Lighting,292,66,292,581.920000,169920.640000,0.006384
2019-01-03,Performance,312,30,312,415.420000,129611.040000,0.023432
2019-01-03,Towing,270,41,270,592.690000,160026.300000,0.001473
2019-01-04,Exterior,166,39,166,722.032000,119857.312000,0.023867
2019-01-04,Interior,388,2,388,255.700000,99211.600000,0.012258
2019-01-04,Performance,274,17,274,897.195000,245831.430000,0.008551
2019-01-04,Towing,162,46,162,984.570000,159500.340000,0.006860
2019-01-05,Exterior,135,37,135,603.332500,81449.887500,0.054566
2019-01-05,Interior,169,55,169,658.260000,111245.940000,0.032425
2019-01-05,Lighting,169,52,169,776.036666,131150.196554,0.010967
2019-01-05,Performance,125,46,125,460.810000,57601.250000,0.081944
2019-01-06,Exterior,218,39,218,862.655000,188058.790000,0.028896
2019-01-06,Interior,100,23,100,971.160000,97116.000000,0.028900
2019-01-06,Lighting,245,45,245,842.318000,206367.910000,0.008355
2019-01-06,Performance,217,36,217,976.320000,211861.440000,0.012074
2019-01-06,Suspension,56,45,56,248.375000,13909.000000,0.215776
2019-01-07,Interior,37,9,37,515.000000,19055.000000,0.132580
2019-01-07,Lighting,144,54,144,790.093333,113773.439952,0.013850
2019-01-07,Performance,196,52,196,648.713333,127147.813268,0.022601
2019-01-07,Suspension,385,51,385,987.370000,380137.450000,0.002955
2019-01-07,Towing,265,20,265,761.890000,201900.850000,0.013932
2019-01-08,Exterior,205,31,205,790.972500,162149.362500,0.027249
2019-01-08,Interior,168,50,168,760.253333,127722.559944,0.011513
2019-01-08,Lighting,298,77,298,1007.510000,300237.980000,0.001336
2019-01-08,Performance,165,46,165,909.293333,150033.399945,0.034013
2019-01-08,Suspension,114,27,114,701.630000,79985.820000,0.028274
2019-01-09,Exterior,174,51,174,750.480000,130583.520000,0.036834
2019-01-09,Interior,249,38,249,963.730000,239968.770000,0.007658
2019-01-09,Lighting,257,71,257,1211.920000,311463.440000,0.005886
2019-01-09,Performance,283,41,283,628.596666,177892.856478,0.004938
2019-01-09,Suspension,311,30,311,128.280000,39895.080000,0.066516
2019-01-09,Towing,199,47,199,443.015000,88159.985000,0.031451
2019-01-10,Exterior,143,56,143,450.932000,64483.276000,0.029208
2019-01-10,Interior,330,73,330,598.570000,197528.100000,0.004842
2019-01-10,Lighting,94,48,94,586.220000,55104.680000,0.006360
2019-01-10,Performance,328,6,328,467.300000,153274.400000,0.016852
2019-01-11,Exterior,280,69,280,713.462500,199769.500000,0.021552
2019-01-11,Lighting,253,58,253,921.630000,233172.390000,0.007555
2019-01-11,Performance,150,49,150,751.886666,112782.999900,0.024749
2019-01-11,Suspension,302,42,302,896.763333,270822.526566,0.003990
2019-01-11,Towing,143,27,143,110.290000,15771.470000,0.086173
2019-01-12,Exterior,261,37,261,659.910000,172236.510000,0.025540
2019-01-12,Lighting,240,81,240,777.400000,186576.000000,0.013928
2019-01-12,Performance,242,47,242,853.148000,206461.816000,0.008726
2019-01-12,Towing,240,62,240,127.410000,30578.400000,0.032961
2019-01-13,Exterior,186,35,186,432.840000,80508.240000,0.021736
2019-01-13,Interior,331,63,331,935.320000,309590.920000,0.004192
2019-01-13,Lighting,202,29,202,871.973333,176138.613266,0.009488
2019-01-13,Performance,205,65,205,1154.346666,236641.066530,0.003927
2019-01-13,Suspension,325,21,325,1498.880000,487136.000000,0.003757
2019-01-14,Exterior,272,50,272,680.812500,185181.000000,0.014510
2019-01-14,Interior,239,75,239,1058.720000,253034.080000,0.005830
2019-01-14,Lighting,199,80,199,935.850000,186234.150000,0.009813
2019-01-14,Performance,16,20,16,221.400000,3542.400000,0.402108
2019-01-14,Suspension,71,26,71,1018.280000,72297.880000,0.013228
2019-01-15,Exterior,252,67,252,646.497500,162917.370000,0.026512
2019-01-15,Interior,190,76,190,156.180000,29674.200000,0.044872
2019-01-15,Lighting,243,69,243,601.300000,146115.900000,0.019156
2019-01-15,Performance,267,39,267,986.310000,263344.770000,0.007138
2019-01-15,Suspension,285,70,285,92.830000,26456.550000,0.015838
2019-01-15,Towing,77,8,77,472.820000,36407.140000,0.079159
2019-01-16,Exterior,316,77,316,1047.640000,331054.240000,0.010761
2019-01-16,Interior,352,45,352,925.665000,325834.080000,0.007229
2019-01-16,Lighting,325,17,325,914.790000,297306.750000,0.003423
2019-01-16,Performance,107,30,107,824.252500,88195.017500,0.034487
2019-01-16,Suspension,292,73,292,456.460000,133286.320000,0.015719
2019-01-17,Exterior,144,44,144,155.900000,22449.600000,0.103254
2019-01-17,Interior,54,51,54,531.750000,28714.500000,0.073635
2019-01-17,Lighting,161,71,161,1017.223333,163772.956613,0.018025
2019-01-17,Performance,240,35,240,813.505000,195241.200000,0.016823
2019-01-17,Towing,203,52,203,1119.355000,227229.065000,0.001517
2019-01-18,Exterior,366,44,366,453.940000,166142.040000,0.023188
2019-01-18,Interior,78,16,78,116.840000,9113.520000,0.279241
2019-01-18,Lighting,341,62,341,132.390000,45144.990000,0.057219
2019-01-18,Suspension,361,14,361,676.500000,244216.500000,0.001342
