FullDate,SubCategory,Brand,SalesChannel,Category,ReturnAmt,ReturnQty,ReturnRate_Value,ReasonName
2024-05-28,Lift Kits,Rough Country,MobileApp,Suspension,12810937.86,12971,8270.704266,"Wrong Item "
2024-09-10,Cold Air Intakes,CURT,MobileApp,Performance,3144300.11,25942,2029.946124,"Changed Mind "
2020-11-30,Running Boards,CURT,InStore,Exterior,4343647.38,12982,2734.859920,"Damaged "
2021-10-22,Lift Kits,Westin,MobileApp,Suspension,1187624.76,12971,766.721225,"Warranty Claim "
2020-03-13,Running Boards,Flowmaster,Web,Exterior,7230418.22,25822,4642.162954,"Changed Mind "
2020-10-17,Cold Air Intakes,MagnaFlow,Web,Performance,2530168.67,25822,1624.446150,"Late Delivery "
2020-11-08,Exhaust,Westin,Web,Performance,11527199.02,25822,7400.839338,"Ordered by Mistake "
2025-02-11,Exhaust,Westin,Web,Performance,5616155.89,12911,3605.752763,"Better Price Found "
2019-01-04,Trailer Hitches,Flowmaster,InStore,Towing,5968085.04,12982,3757.645516,"Not as Described "
2024-11-22,Cold Air Intakes,BAK,InStore,Performance,9254088.88,25964,5826.593762,"Defective "
2021-03-01,Tonneau Covers,Rough Country,MobileApp,Exterior,8132298.16,12971,5250.185668,"Wrong Item "
2022-04-12,Tonneau Covers,Husky Liners,MobileApp,Exterior,5901545.58,25942,3810.017207,"Warranty Claim "
2022-06-15,LED Light Bars,K&N,MobileApp,Lighting,10804583.58,12971,6975.406798,"Damaged "
2024-02-22,Tonneau Covers,MagnaFlow,MobileApp,Exterior,13673768.78,25942,8827.745777,"Late Delivery "
2020-05-17,Tonneau Covers,Tyger Auto,Web,Exterior,2464064.35,25822,1582.004909,"Changed Mind "
2021-12-30,Lift Kits,Putco,Web,Suspension,6446462.30,12911,4138.837135,"Damaged "
2021-04-23,Lift Kits,Flowmaster,InStore,Suspension,6316262.28,12982,3976.866335,"Other "
2023-03-14,Tonneau Covers,Tyger Auto,InStore,Exterior,877713.02,12982,552.623021,"Wrong Item "
2024-01-08,LED Light Bars,TruXedo,InStore,Lighting,6523584.82,25964,4107.401685,"Missing Parts "
2025-07-03,Tonneau Covers,Tyger Auto,InStore,Exterior,9673537.30,25964,6090.688669,"Warranty Claim "
2023-08-03,Exhaust,MagnaFlow,Marketplace,Performance,5739046.52,13324,7322.694056,"Missing Parts "
2020-05-08,Exhaust,Rough Country,MobileApp,Performance,1340682.56,25942,865.534922,"Ordered by Mistake "
