LocationID,City,State,Country,ZipCode,MarketSegment
573,Brampton,Manitoba,Canada,L0K 4M1,Urban
574,Vancouver,Alberta,Canada,C6G 3G2,Suburban
575,Montreal,Saskatchewan,Canada,N8H 7L0,Rural
576,Toronto,Ontario,Canada,K3M 2P9,Urban
577,Red Deer,Ontario,Canada,V1S 5N3,Urban
578,Montreal,Ontario,Canada,Y2N 1H2,Urban
579,Burnaby,Ontario,Canada,S3K 8R0,Suburban
580,Burlington,Ontario,Canada,B5T 4T1,Urban
581,Gatineau,British Columbia,Canada,Y6V 7A1,Urban
582,Quebec City,Ontario,Canada,K8E 9V4,Rural
583,Vancouver,Quebec,Canada,Y0E 5H2,Urban
584,London,Ontario,Canada,J4M 5E6,Suburban
585,Saskatoon,British Columbia,Canada,Y7E 4B9,Urban
586,Saskatoon,Ontario,Canada,N9C 0C8,Urban
587,Montreal,British Columbia,Canada,Y1M 2Y9,Urban
588,Burlington,British Columbia,Canada,P7E 4T9,Rural
589,Regina,Alberta,Canada,M0B 5M1,Rural
590,Edmonton,Ontario,Canada,E2L 6N2,Rural
591,Hamilton,British Columbia,Canada,A4J 8X2,Suburban
592,Montreal,Ontario,Canada,N4K 0B6,Rural
593,Halifax,British Columbia,Canada,V2T 5V0,Urban
594,Burnaby,Saskatchewan,Canada,B2T 5X8,Suburban
595,Markham,New Brunswick,Canada,N3G 1C0,Suburban
596,Windsor,Ontario,Canada,B3T 3E7,Suburban
597,Oakville,British Columbia,Canada,N5S 9G6,Suburban
598,Brampton,British Columbia,Canada,R8M 9A8,Urban
599,Gatineau,Ontario,Canada,V8P 9N2,Urban
600,Edmonton,New Brunswick,Canada,G2G 3T1,Urban
601,Ottawa,New Brunswick,Canada,S7B 8S8,Urban
602,Ottawa,Ontario,Canada,H6S 7M3,Suburban
603,Kelowna,Ontario,Canada,C1N 2G4,Suburban
604,Winnipeg,Alberta,Canada,C6S 2R3,Rural
605,Toronto,Saskatchewan,Canada,K6M 7T1,Urban
606,Mississauga,Ontario,Canada,T0Y 3L0,Suburban
607,Gatineau,British Columbia,Canada,P3G 7G5,Suburban
608,Red Deer,British Columbia,Canada,A9A 2V5,Rural
609,Calgary,Alberta,Canada,J6A 4Y5,Rural
610,Moncton,Quebec,Canada,Y6J 4T3,Urban
611,Montreal,Ontario,Canada,Y3Y 8P9,Suburban
612,Montreal,Manitoba,Canada,P7G 2B1,Urban
613,Quebec City,British Columbia,Canada,V7C 2C2,Suburban
614,Surrey,Ontario,Canada,T3A 0B4,Urban
615,Brampton,British Columbia,Canada,B5L 9N5,Rural
616,Surrey,British Columbia,Canada,X4M 2S0,Rural
617,Calgary,Ontario,Canada,T7J 2S1,Suburban
618,Halifax,British Columbia,Canada,X1K 9V4,Suburban
619,Brampton,Saskatchewan,Canada,M3H 9A4,Urban
620,Oakville,Ontario,Canada,E6T 3V4,Urban
621,Burnaby,Alberta,Canada,P1L 5T4,Rural
622,Kelowna,Ontario,Canada,M4V 3H6,Rural
623,Edmonton,Ontario,Canada,H8H 5L2,Urban
624,Ottawa,Saskatchewan,Canada,G6E 4Y5,Rural
625,Kitchener,British Columbia,Canada,M3G 5G4,Rural
626,Brampton,British Columbia,Canada,A5G 9E7,Suburban
627,Mississauga,British Columbia,Canada,H5Y 7B7,Urban
628,Windsor,Ontario,Canada,N7E 3K8,Suburban
629,Edmonton,British Columbia,Canada,V0X 8V7,Suburban
630,Burnaby,Quebec,Canada,H4J 1S1,Rural
631,Surrey,Ontario,Canada,E2Y 6J4,Rural
632,Brampton,Manitoba,Canada,K3S 2J9,Rural
633,Montreal,Ontario,Canada,V7X 6C5,Suburban
634,Quebec City,Nova Scotia,Canada,M0C 3Y4,Urban
635,Winnipeg,Alberta,Canada,E6X 5C0,Rural
636,Burlington,British Columbia,Canada,N3M 4R6,Rural
637,Gatineau,New Brunswick,Canada,M5T 4P1,Suburban
638,Windsor,British Columbia,Canada,B1L 6C0,Rural
639,Ottawa,Ontario,Canada,E1L 6S1,Rural
640,Red Deer,Ontario,Canada,X6X 6Y1,Suburban
641,Red Deer,British Columbia,Canada,H4H 0J7,Urban
642,Red Deer,British Columbia,Canada,V5J 2N8,Suburban
643,Kelowna,British Columbia,Canada,C0A 3B4,Urban
644,Markham,Quebec,Canada,X0J 7J2,Rural
645,Toronto,Ontario,Canada,C0H 1X5,Suburban
646,London,Ontario,Canada,V2E 5N7,Urban
647,Richmond,Ontario,Canada,A9H 1T0,Urban
648,Burlington,Ontario,Canada,E9E 1J5,Urban
649,Edmonton,British Columbia,Canada,V0X 0P2,Urban
650,Calgary,Quebec,Canada,S6P 0A8,Rural
651,Calgary,Ontario,Canada,H6E 7S7,Suburban
652,Brampton,New Brunswick,Canada,N5X 2L0,Suburban
653,Brampton,British Columbia,Canada,T2V 7J3,Urban
654,Halifax,Saskatchewan,Canada,R6Y 9L1,Suburban
655,Oakville,Ontario,Canada,J6G 3P1,Urban
656,Mississauga,British Columbia,Canada,A2T 6H4,Suburban
657,Markham,Ontario,Canada,N8R 9A0,Suburban
658,Ottawa,British Columbia,Canada,N5G 1P1,Urban
659,Kitchener,Saskatchewan,Canada,N3L 2X0,Rural
660,Montreal,Saskatchewan,Canada,C0R 0A2,Urban
661,Burlington,Ontario,Canada,K8E 5C6,Urban
662,Saskatoon,British Columbia,Canada,T5R 6M3,Rural
663,Winnipeg,Ontario,Canada,G9N 8L4,Urban
664,Quebec City,Alberta,Canada,B4V 4G6,Urban
665,Windsor,Ontario,Canada,T3Y 3J3,Urban
666,Halifax,Alberta,Canada,A5K 2A0,Suburban
667,Moncton,Ontario,Canada,G9L 0N2,Rural
668,Moncton,Alberta,Canada,Y7J 3K1,Suburban
669,Surrey,Quebec,Canada,V0N 6Y6,Rural
670,Regina,Nova Scotia,Canada,V3S 0K8,Urban
671,Gatineau,Ontario,Canada,N7C 4Y6,Urban
672,Calgary,Ontario,Canada,P4V 1P5,Suburban
673,Regina,Saskatchewan,Canada,P7J 5B7,Suburban
674,Hamilton,Ontario,Canada,E6E 6E2,Suburban
675,Winnipeg,Nova Scotia,Canada,R9N 4R0,Suburban
676,Toronto,Nova Scotia,Canada,L8N 7R2,Suburban
677,Halifax,Ontario,Canada,M7G 2Y4,Rural
678,Saskatoon,British Columbia,Canada,E0Y 2E0,Urban
679,Oakville,Alberta,Canada,S7V 8G9,Suburban
680,Burlington,Ontario,Canada,K7B 3C1,Rural
681,Montreal,Nova Scotia,Canada,G7S 9Y8,Suburban
682,Burnaby,Alberta,Canada,G5T 9N2,Rural
683,Hamilton,Quebec,Canada,B4P 0R6,Rural
684,Kitchener,Ontario,Canada,R8H 1S4,Rural
