MarketingFactID,DateID,ChannelID,CampaignID,AdSpend,Impressions,Clicks,Conversions,ROI
1,1168,887,CA-145,3586.44,447335,2986,468,318.21
2,2211,882,CA-063,2085.10,110705,36978,484,222.62
3,2262,885,CA-028,4970.74,95316,12310,258,290.81
4,2893,889,CA-121,457.57,398333,34262,1844,113.70
5,1111,880,CA-055,1100.94,273018,12182,331,384.83
6,2546,889,CA-106,596.84,744408,30721,956,161.53
7,1142,886,CA-148,2261.45,803545,26902,1836,234.12
8,1752,880,CA-137,1165.34,456177,24607,519,339.95
9,1471,883,CA-001,1624.01,553311,32326,188,110.29
10,1678,890,CA-130,3697.67,802654,11291,1300,-13.21
11,1545,889,CA-137,3744.42,100149,11325,1154,448.06
12,828,888,CA-053,4196.38,223515,16644,649,255.04
13,2234,890,CA-030,4141.87,223365,30857,26,441.61
14,2211,883,CA-077,1090.82,270384,22877,757,109.13
15,1115,888,CA-004,1921.14,664761,1259,1628,91.32
16,2235,884,CA-132,1755.87,804934,20969,1352,223.47
17,1734,886,CA-070,770.59,400083,36016,1618,492.71
18,2719,885,CA-108,2645.75,538451,23679,298,43.21
19,1637,886,CA-032,4450.13,382757,30565,880,168.93
20,953,890,CA-050,4898.41,75867,16970,468,2.44
21,2990,891,CA-106,3330.52,346936,37872,599,8.98
22,2646,882,CA-058,4130.07,529350,12949,1082,141.58
23,1065,887,CA-031,1669.40,431371,33089,44,452.03
24,2457,889,CA-113,3576.56,10303,33955,790,195.29
25,2397,889,CA-040,3393.84,83142,13797,564,361.76
26,2920,889,CA-082,781.02,884053,32407,234,-0.16
27,1246,887,CA-052,566.40,697482,8630,33,41.79
28,2638,889,CA-015,1390.96,723956,32515,1376,93.05
29,2623,888,CA-031,1500.69,5819,20908,961,121.82
30,1120,889,CA-095,2346.61,104641,5290,1871,129.36
31,2915,890,CA-038,3478.65,891705,32209,387,430.75
32,2384,880,CA-099,944.17,371434,643,1721,364.46
33,1524,891,CA-052,2438.47,237543,36784,1130,30.92
34,2234,880,CA-024,1219.60,383466,30062,1858,-0.57
35,1979,889,CA-005,282.03,389273,1912,1938,395.48
36,1603,889,CA-046,393.67,216282,4913,1912,40.27
37,2711,892,CA-055,3256.31,349818,9614,643,78.78
38,2420,882,CA-065,3597.11,735423,2999,474,378.56
39,1979,880,CA-005,3714.22,757526,7982,1375,285.69
40,2985,880,CA-053,3952.06,300468,38459,1663,24.86
41,1132,880,CA-025,2103.76,343391,39869,815,260.24
42,1259,886,CA-064,2306.16,385072,11151,23,44.89
43,2581,892,CA-076,2482.01,182378,27992,943,389.66
44,935,881,CA-085,1086.91,519753,35562,1226,206.87
45,1620,891,CA-100,2201.27,120305,16504,142,188.69
46,3128,889,CA-047,2471.35,569964,1290,159,298.28
47,2280,883,CA-098,1996.70,153781,20885,1422,143.56
48,2946,888,CA-112,1685.80,7237,3108,1770,107.89
49,2254,891,CA-015,3573.98,488088,22947,1466,243.28
50,1837,889,CA-142,2514.14,56276,19304,417,265.89
51,2858,892,CA-139,2478.70,614182,37779,157,309.64
52,2160,880,CA-038,1181.83,882944,36110,989,28.31
53,1751,890,CA-104,2397.04,487397,656,699,440.75
54,2290,892,CA-130,503.55,612353,32289,873,56.99
55,2836,884,CA-103,1525.53,854986,19574,1227,479.24
56,1026,891,CA-079,3925.93,152170,16058,1788,238.35
57,2914,890,CA-109,4101.07,196259,37084,568,252.19
58,2908,892,CA-090,3622.54,276115,32487,1852,85.03
59,1771,885,CA-032,3442.58,807255,13235,79,152.28
60,1654,885,CA-117,3528.89,851000,22644,1907,387.93
61,3135,885,CA-051,4323.12,385656,15845,763,296.08
62,2497,880,CA-012,1700.40,378476,9255,1265,358.82
63,2204,891,CA-051,4012.06,265302,13767,1160,292.85
64,1854,886,CA-100,136.25,115308,18682,1186,120.71
65,2121,883,CA-024,3999.89,811279,31782,368,166.11
66,2555,881,CA-131,1706.23,358541,20073,1556,129.14
67,856,881,CA-131,57.96,164741,15452,448,235.12
68,3018,890,CA-027,3657.38,330411,36109,1298,31.89
69,1741,882,CA-056,2446.39,837569,6291,1746,448.23
70,1379,886,CA-142,3994.12,265493,38712,1977,435.16
71,1760,886,CA-079,2801.56,146735,7553,1138,352.84
72,3012,892,CA-111,1002.14,649901,23336,195,-8.58
73,1040,885,CA-054,136.17,217536,25446,298,409.87
74,1560,885,CA-112,162.00,79339,8558,1743,271.49
75,3085,881,CA-141,1143.35,523719,13628,1532,466.05
76,1734,880,CA-059,1219.58,195318,12831,977,180.52
77,1819,890,CA-127,2488.32,783879,39584,771,259.29
78,1615,889,CA-036,1940.65,621633,18965,1762,33.56
79,1947,889,CA-075,1066.18,571269,19213,1135,47.52
80,1204,882,CA-131,4165.70,203933,15802,1518,36.77
81,1858,889,CA-030,2601.95,169793,5909,958,246.36
82,2861,886,CA-063,2675.10,127030,8921,1204,346.75
83,3181,883,CA-024,4767.30,829537,8116,366,108.50
84,2584,880,CA-047,2421.08,375693,34274,1612,290.65
85,2007,888,CA-077,3638.23,843770,7586,967,144.91
86,1596,892,CA-004,3154.73,701393,22032,466,381.32
87,1288,881,CA-081,4933.35,550620,30353,537,268.94
88,3195,888,CA-131,1587.30,386877,26382,99,-10.09
89,3090,880,CA-128,2240.89,188984,25441,1799,319.88
90,1855,883,CA-118,4281.37,459700,2053,1887,326.94
91,1251,889,CA-030,4875.59,116648,14036,534,436.52
92,3066,881,CA-070,4653.96,618907,18673,114,54.45
93,3116,890,CA-033,2435.62,188314,18933,1073,79.77
94,3151,881,CA-004,3680.26,310640,26668,1278,244.61
95,1273,881,CA-075,79.77,355542,5022,1225,246.42
96,1322,885,CA-135,1870.59,418688,4356,1465,-40.31
97,935,890,CA-007,2570.73,710662,15170,105,340.37
98,960,889,CA-035,3701.80,545712,5941,1001,85.74
99,939,883,CA-053,2010.98,226184,38912,1782,0.38
100,834,882,CA-003,3623.13,304971,15325,201,475.58
101,2013,881,CA-100,1548.79,256332,14346,1108,185.93
102,3039,887,CA-010,4003.44,13314,33394,245,377.03
103,1934,885,CA-051,3809.29,891921,9308,1619,322.57
104,2078,891,CA-078,4209.66,45978,38307,1251,10.08
105,2291,890,CA-055,960.70,123702,26120,1121,317.29
106,2006,889,CA-146,2257.53,586281,25139,452,376.57
107,2784,885,CA-025,3757.36,684182,22634,335,41.54
108,1293,883,CA-111,1248.68,548900,13197,269,13.91
109,3193,892,CA-131,1431.78,633855,21903,1677,343.72
110,1551,892,CA-145,2313.85,680724,11456,651,168.53
111,2165,891,CA-081,3080.06,357285,4541,1490,143.27
112,2195,886,CA-019,205.63,656337,22619,32,285.12
113,1556,885,CA-022,2718.27,610482,35951,1788,495.35
114,2553,887,CA-099,1016.72,303603,7428,1863,-45.54
115,1682,883,CA-070,146.10,8893,13169,1894,456.89
116,988,884,CA-080,3244.75,460919,14330,24,413.91
117,2515,884,CA-019,731.42,857205,8946,118,398.32
118,2803,883,CA-104,1991.26,280839,15008,1891,64.25
119,1438,884,CA-121,2358.79,793508,38481,534,492.09
120,2105,890,CA-097,2672.19,594734,5179,989,9.35
121,3202,890,CA-145,260.52,841013,20733,318,398.86
122,2181,880,CA-119,4527.89,67790,26243,1971,-34.11
123,3128,883,CA-071,2590.57,109935,9378,381,342.55
124,834,886,CA-060,4226.79,272611,32341,989,237.45
125,2698,889,CA-002,514.11,640568,16639,391,465.40
126,2511,884,CA-009,4056.97,694155,16359,663,87.17
127,1512,890,CA-106,3986.20,610250,36560,1217,-23.62
128,2598,881,CA-132,223.70,394035,23821,1350,17.27
129,3055,883,CA-051,4707.47,12658,10927,242,188.12
130,1534,890,CA-056,4463.68,157634,25876,471,3.92
131,1278,881,CA-107,609.02,422849,5412,185,254.38
132,2527,887,CA-104,1781.61,476744,3753,1871,202.88
133,2521,882,CA-097,2666.87,58953,4089,410,66.78
134,1950,890,CA-059,942.80,501589,24391,509,51.52
135,1909,884,CA-087,3932.69,869703,31037,1392,250.44
136,2764,885,CA-090,3098.25,248658,300,947,24.04
137,1682,892,CA-040,4173.78,241362,39247,22,317.62
138,1840,887,CA-052,1559.51,398390,16409,1227,445.13
139,819,881,CA-118,2867.26,786187,34878,1513,392.04
140,897,885,CA-138,2725.10,734853,23880,1572,424.36
141,1980,880,CA-144,2715.16,283443,17112,598,60.00
142,2095,891,CA-119,3594.36,668926,22557,1575,64.52
143,1820,892,CA-094,2501.04,660839,33791,1600,-46.64
144,1537,880,CA-036,4342.08,369774,10913,362,1.92
145,2824,887,CA-006,362.05,623960,13523,753,360.32
146,2804,892,CA-058,877.66,189527,19197,848,429.01
147,1523,886,CA-127,2022.82,266756,34834,1170,330.39
148,1707,891,CA-079,4748.35,275531,15334,1698,225.78
149,1189,891,CA-051,1085.94,570730,9364,1899,338.74
150,3019,883,CA-133,1787.74,539323,11427,698,86.46
151,2572,881,CA-072,302.83,181421,16277,590,360.39
152,2374,884,CA-102,395.96,208287,19349,1511,378.36
153,1503,884,CA-034,2842.94,351547,4189,1243,337.16
154,2956,889,CA-017,802.42,130908,9265,61,103.70
155,1623,880,CA-060,115.23,864470,18061,1895,263.36
156,2789,884,CA-039,1772.05,162295,14049,139,480.00
157,1189,888,CA-089,4977.22,231242,36093,1685,274.13
158,1679,892,CA-123,4252.58,26226,33284,587,446.19
159,1696,883,CA-052,4794.92,852152,22314,1325,282.97
160,2848,888,CA-040,2094.79,808103,5468,562,221.51
161,2801,883,CA-062,2588.20,166704,32026,1843,102.46
162,1930,892,CA-082,3262.93,136428,25166,789,346.41
163,2439,892,CA-084,1913.08,163388,24395,878,63.73
164,2288,886,CA-107,2915.87,846708,19669,1606,-10.48
165,1717,883,CA-064,4315.40,692135,15191,219,-4.72
166,2280,887,CA-072,4549.92,763449,27037,845,172.07
167,2076,886,CA-005,2595.91,465875,25223,1787,375.74
168,1443,887,CA-105,2899.44,788790,13807,742,248.08
